,Accidents,UrbanDensification,UrbanParks,OldTown,Bars,HN_noise_40,HN_noise_60,strOri_0,strOri_1,strOri_2,strOri_3,X,Y,clusterID
1945,28,95221,2126,0,6.0,1.0,0.0,564.6961729,1304.737588,786.7251461,1503.143583,428048.9014,4583667.759,1
1946,7,15369,51492,77124,3.0,0.92,0.02,437.8086214,3670.234098,377.9169152,2997.904657,431356.7908,4581979.628,4
1947,20,0,12766,116959,46.0,0.428571429,0.035714286,398.6329721,3227.915719,389.6617907,2376.190104,431004.6127,4581335.524,2
1948,22,0,0,106717,19.0,0.923076923,0.0,324.4498632,2254.794327,250.5748476,2378.15134,429260.9983,4583682.961,4
1949,12,31794,32164,74711,13.0,1.0,0.0,625.2148975,2996.091633,555.8477206,3152.663782,431127.5133,4581785.217,4
1950,17,0,21153,74108,39.0,0.578947368,0.052631579,93.75948487,2947.954139,78.15108791,2017.841945,431150.4403,4581105.448,2
1951,9,0,12096,110682,39.0,0.56097561,0.146341463,174.7559375,3676.233996,283.18958,2947.120306,431213.0972,4581322.6,2
1952,16,0,24707,66416,31.0,0.964285714,0.0,93.00228969,2919.441188,429.7063377,1946.160295,430556.7306,4581455.163,2
1953,12,0,2318,108520,24.0,0.513513514,0.27027027,8.230774598,2692.697457,9.758196242,2827.108598,429404.8626,4583646.723,2
1954,9,26107,32267,72463,17.0,1.0,0.0,745.4738577,2947.064796,547.1988524,3104.015941,431105.6511,4581759.063,4
1955,24,50384,20725,7101,7.0,1.0,0.0,303.5815948,1385.310733,773.4646344,1280.906537,429448.8829,4580916.922,1
1956,16,0,17324,110280,42.0,0.803921569,0.0,594.20249,3475.472607,446.7909861,2563.011243,431063.6304,4581453.437,2
1957,32,26319,1580,68711,26.0,1.0,0.0,14.95825862,2441.967865,220.8177888,2097.145224,429292.3214,4583371.651,4
1958,1,0,30605,43501,2.0,0.486486486,0.243243243,566.7972508,2250.988572,309.2279417,1723.841629,431560.972,4581957.054,4
